,reward
799,500
800,500
801,500
802,500
803,500
804,500
805,500
806,500
807,458
808,398
809,369
810,376
811,382
812,360
813,429
814,467
815,500
816,495
817,499
818,500
819,395
820,467
821,454
822,350
823,336
824,348
825,326
826,328
827,371
828,373
829,417
830,466
831,487
832,492
833,500
834,500
835,500
836,500
837,500
838,426
839,385
840,413
841,453
842,492
843,500
844,500
845,500
846,500
847,500
848,383
849,439
850,348
851,443
852,373
853,399
854,329
855,368
856,465
857,488
858,450
859,500
860,483
861,500
862,406
863,405
864,391
865,379
866,394
867,392
868,438
869,388
870,416
871,452
872,424
873,411
874,431
875,414
876,425
877,460
878,403
879,398
880,411
881,349
882,396
883,357
884,358
885,398
886,377
887,414
888,390
889,382
890,330
891,388
892,382
893,315
894,336
895,308
896,339
897,385
898,486
899,500
900,500
901,433
902,402
903,339
904,361
905,319
906,359
907,393
908,410
909,500
910,500
911,500
912,500
913,382
914,327
915,313
916,344
917,334
918,343
919,348
920,384
921,450
922,431
923,454
924,403
925,390
926,339
927,350
928,289
929,288
930,307
931,331
932,331
933,347
934,381
935,402
936,340
937,296
938,282
939,286
940,267
941,277
942,288
943,341
944,442
945,433
946,500
947,500
948,465
949,500
950,363
951,325
952,284
953,279
954,284
955,274
956,295
957,362
958,424
959,500
960,500
961,500
962,488
963,378
964,310
965,255
966,256
967,266
968,266
969,284
970,348
971,393
972,500
973,500
974,377
975,347
976,274
977,266
978,247
979,229
980,241
981,264
982,315
983,377
984,469
985,469
986,461
987,443
988,385
989,296
990,262
991,282
992,298
993,358
994,341
995,381
996,410
997,377
998,336
999,283
1000,282
1001,303
1002,300
1003,303
1004,296
1005,291
1006,292
1007,307
1008,292
1009,323
1010,302
1011,308
1012,333
1013,330
1014,338
1015,321
1016,321
1017,323
1018,315
1019,317
1020,297
1021,309
1022,297
1023,283
1024,274
1025,293
1026,297
1027,296
1028,315
1029,299
1030,305
1031,292
1032,319
1033,315
1034,332
1035,337
1036,341
1037,353
1038,348
1039,340
1040,349
1041,346
1042,374
1043,364
1044,340
1045,351
1046,333
1047,349
1048,323
1049,338
1050,313
1051,340
1052,326
1053,332
1054,321
1055,339
1056,318
1057,303
1058,316
1059,303
1060,279
1061,287
1062,320
1063,285
1064,293
1065,303
1066,268
1067,262
1068,268
1069,263
1070,267
1071,264
1072,283
1073,286
1074,297
1075,293
1076,309
1077,315
1078,320
1079,306
1080,312
1081,330
1082,312
1083,356
1084,356
1085,312
1086,355
1087,348
1088,311
1089,348
1090,313
1091,305
1092,305
1093,310
1094,310
1095,298
1096,316
1097,279
1098,283
1099,273
1100,280
1101,269
1102,248
1103,270
1104,272
1105,255
1106,269
1107,267
1108,251
1109,263
1110,270
1111,254
1112,257
1113,268
1114,268
1115,262
1116,272
1117,253
1118,275
1119,281
1120,278
1121,275
1122,274
1123,292
1124,281
1125,306
1126,288
1127,292
1128,297
1129,284
1130,296
1131,346
1132,322
1133,325
1134,340
1135,321
1136,298
1137,317
1138,339
1139,305
1140,287
1141,306
1142,293
1143,284
1144,305
1145,282
1146,276
1147,277
1148,283
1149,258
1150,275
1151,258
1152,261
1153,274
1154,261
1155,271
1156,272
1157,264
1158,272
1159,274
1160,271
1161,268
1162,254
1163,277
1164,292
1165,267
1166,291
1167,284
1168,280
1169,304
1170,304
1171,310
1172,291
1173,295
1174,283
1175,275
1176,294
1177,303
1178,269
1179,282
1180,291
1181,296
1182,298
1183,273
1184,271
1185,287
1186,269
1187,271
1188,278
1189,282
1190,268
1191,298
1192,278
1193,265
1194,271
1195,290
1196,271
1197,273
1198,257
1199,278
1200,282
1201,273
1202,267
1203,286
1204,273
1205,264
1206,277
1207,265
1208,275
1209,267
1210,269
1211,269
1212,270
1213,270
1214,271
1215,252
1216,266
1217,262
1218,269
1219,264
1220,265
1221,249
1222,263
1223,271
1224,268
1225,276
1226,271
1227,269
1228,289
1229,251
1230,267
1231,256
1232,264
1233,247
1234,273
1235,250
1236,266
1237,257
1238,269
1239,258
1240,260
1241,272
1242,257
1243,263
1244,269
1245,273
1246,274
1247,276
1248,266
1249,265
1250,263
1251,271
1252,266
1253,249
1254,244
1255,251
1256,270
1257,266
1258,259
1259,258
1260,271
1261,264
1262,261
1263,239
1264,264
1265,257
1266,268
1267,267
1268,268
1269,254
1270,249
1271,267
1272,255
1273,259
1274,261
1275,250
1276,255
1277,249
1278,260
1279,256
1280,241
1281,265
1282,256
1283,245
1284,242
1285,268
1286,254
1287,265
1288,258
1289,248
1290,248
1291,252
1292,257
1293,255
1294,268
1295,250
1296,260
1297,267
1298,247
1299,256
1300,248
1301,257
1302,233
1303,259
1304,264
1305,269
1306,252
1307,253
1308,254
1309,259
1310,263
1311,268
1312,253
1313,231
1314,256
1315,266
1316,267
1317,255
1318,264
1319,262
1320,266
1321,265
1322,270
1323,265
1324,271
1325,254
1326,272
1327,270
1328,263
1329,252
1330,269
1331,271
1332,255
1333,256
1334,270
1335,275
1336,263
1337,265
1338,265
1339,257
1340,261
1341,266
1342,260
1343,269
1344,249
1345,248
1346,271
1347,249
1348,258
1349,245
1350,248
1351,261
1352,258
1353,269
1354,262
1355,256
1356,267
1357,255
1358,258
1359,258
1360,261
1361,249
1362,255
1363,252
1364,255
1365,258
1366,253
1367,245
1368,246
1369,250
1370,241
1371,252
1372,238
1373,258
1374,243
1375,246
1376,250
1377,257
1378,253
1379,253
1380,241
1381,256
1382,244
1383,249
1384,262
1385,248
1386,246
1387,251
1388,239
1389,241
1390,255
1391,247
1392,258
1393,246
1394,256
1395,252
1396,245
1397,257
1398,241
1399,263
1400,249
1401,246
1402,245
1403,242
1404,244
1405,254
1406,245
1407,252
1408,228
1409,258
1410,80
1411,249
1412,244
1413,246
1414,262
1415,261
1416,247
1417,262
1418,243
1419,249
1420,248
1421,251
1422,245
1423,244
1424,245
1425,248
1426,246
1427,251
1428,253
1429,249
1430,245
1431,246
1432,246
1433,244
1434,246
1435,240
1436,244
1437,253
1438,250
1439,247
1440,246
1441,250
1442,246
1443,234
1444,250
1445,251
1446,260
1447,250
1448,243
1449,242
1450,235
1451,254
1452,238
1453,247
1454,242
1455,240
1456,245
1457,241
1458,243
1459,247
1460,243
1461,248
1462,252
1463,257
1464,250
1465,245
1466,250
1467,255
1468,255
1469,250
1470,243
1471,252
1472,253
1473,254
1474,256
1475,247
1476,251
1477,252
1478,230
1479,249
1480,242
1481,243
1482,248
1483,244
1484,251
1485,240
1486,253
1487,252
1488,261
1489,239
1490,246
1491,252
1492,245
1493,239
1494,249
1495,248
1496,251
1497,248
1498,245
1499,247
1500,245
1501,247
1502,261
1503,249
1504,240
1505,246
1506,256
1507,260
1508,252
1509,236
1510,244
1511,261
1512,244
1513,242
1514,244
1515,232
1516,241
1517,239
1518,242
1519,238
1520,254
1521,245
1522,241
1523,248
1524,247
1525,239
1526,250
1527,243
1528,259
1529,241
1530,243
1531,260
1532,246
1533,254
1534,242
1535,250
1536,243
1537,248
1538,254
1539,252
1540,247
1541,256
1542,249
1543,250
1544,244
1545,243
1546,239
1547,248
1548,242
1549,227
1550,248
1551,250
1552,243
1553,244
1554,245
1555,249
1556,242
1557,242
1558,250
1559,256
1560,254
1561,256
1562,241
1563,243
1564,256
1565,246
1566,238
1567,251
1568,252
1569,253
1570,248
1571,229
1572,249
1573,242
1574,244
1575,236
1576,246
1577,243
1578,234
1579,242
1580,252
1581,250
1582,241
1583,227
1584,258
1585,242
1586,245
1587,233
1588,243
1589,251
1590,244
1591,268
1592,250
1593,245
1594,243
1595,240
1596,251
1597,236
1598,250
1599,240
1600,244
1601,244
1602,247
1603,248
1604,241
1605,239
1606,239
1607,241
1608,248
1609,247
1610,245
1611,240
1612,248
1613,248
1614,238
1615,251
1616,247
1617,240
1618,248
1619,232
1620,255
1621,250
1622,235
1623,251
1624,248
1625,253
1626,235
1627,244
1628,245
1629,244
1630,247
1631,250
1632,248
1633,247
1634,253
1635,251
1636,250
1637,243
1638,251
1639,233
1640,249
1641,245
1642,239
1643,247
1644,243
1645,246
1646,256
1647,248
1648,237
1649,236
1650,244
1651,254
1652,243
1653,240
1654,253
1655,246
1656,240
1657,248
1658,239
1659,242
1660,257
1661,242
1662,244
