,reward
799,328
800,374
801,175
802,380
803,211
804,179
805,191
806,200
807,209
808,243
809,174
810,227
811,219
812,308
813,91
814,123
815,271
816,256
817,363
818,245
819,378
820,165
821,302
822,150
823,257
824,500
825,252
826,191
827,298
828,240
829,222
830,400
831,310
832,232
833,269
834,366
835,374
836,347
837,223
838,500
839,277
840,479
841,114
842,463
843,239
844,194
845,357
846,243
847,209
848,238
849,500
850,500
851,500
852,26
853,193
854,220
855,419
856,245
857,470
858,471
859,209
860,392
861,500
862,500
863,156
864,235
865,125
866,164
867,212
868,352
869,215
870,202
871,43
872,199
873,75
874,266
875,149
876,187
877,138
878,119
879,297
880,238
881,269
882,461
883,195
884,251
885,53
886,231
887,308
888,153
889,205
890,221
891,275
892,143
893,268
894,115
895,235
896,273
897,257
898,187
899,169
900,147
901,125
902,402
903,429
904,245
905,164
906,97
907,154
908,281
909,288
910,312
911,300
912,192
913,167
914,198
915,470
916,254
917,261
918,290
919,421
920,172
921,72
922,239
923,231
924,297
925,360
926,457
927,372
928,476
929,243
930,160
931,500
932,236
933,229
934,198
935,99
936,207
937,206
938,306
939,294
940,155
941,231
942,336
943,124
944,165
945,182
946,148
947,367
948,436
949,139
950,305
951,500
952,382
953,137
954,119
955,164
956,254
957,306
958,374
959,433
960,194
961,496
962,336
963,338
964,335
965,229
966,388
967,272
968,118
969,267
970,124
971,170
972,213
973,219
974,346
975,261
976,413
977,412
978,195
979,278
980,90
981,477
982,358
983,500
984,224
985,250
986,211
987,217
988,242
989,280
990,148
991,377
992,145
993,498
994,324
995,266
996,334
997,336
998,350
999,219
1000,341
1001,197
1002,466
1003,254
1004,251
1005,281
1006,154
1007,271
1008,239
1009,229
1010,395
1011,288
1012,430
1013,432
1014,258
1015,379
1016,273
1017,251
1018,139
1019,334
1020,185
1021,243
1022,286
1023,306
1024,347
1025,217
1026,112
1027,124
1028,441
1029,312
1030,164
1031,277
1032,273
1033,130
1034,305
1035,251
1036,212
1037,269
1038,500
1039,298
1040,195
1041,205
1042,203
1043,259
1044,344
1045,211
1046,500
1047,233
1048,321
1049,273
1050,250
1051,275
1052,221
1053,350
1054,206
1055,398
1056,282
1057,436
1058,201
1059,500
1060,187
1061,184
1062,211
1063,499
1064,273
1065,245
1066,335
1067,228
1068,311
1069,381
1070,378
1071,348
1072,362
1073,309
1074,387
1075,271
1076,151
1077,500
1078,128
1079,461
1080,277
1081,206
1082,244
1083,497
1084,135
1085,395
1086,157
1087,500
1088,255
1089,143
1090,500
1091,354
1092,202
1093,269
1094,500
1095,246
1096,189
1097,369
1098,500
1099,279
1100,366
1101,391
1102,185
1103,357
1104,246
1105,357
1106,172
1107,420
1108,291
1109,365
1110,325
1111,279
1112,342
1113,500
1114,276
1115,366
1116,329
1117,327
1118,133
1119,351
1120,364
1121,500
1122,249
1123,318
1124,224
1125,364
1126,431
1127,127
1128,208
1129,270
1130,248
1131,412
1132,489
1133,268
1134,413
1135,193
1136,267
1137,243
1138,226
1139,476
1140,500
1141,295
1142,178
1143,424
1144,147
1145,265
1146,209
1147,193
1148,378
1149,341
1150,430
1151,205
1152,216
1153,286
1154,500
1155,234
1156,232
1157,180
1158,190
1159,209
1160,442
1161,211
1162,171
1163,406
1164,173
1165,364
1166,341
1167,159
1168,274
1169,120
1170,194
1171,398
1172,421
1173,152
1174,258
1175,454
1176,190
1177,171
1178,382
1179,274
1180,255
1181,176
1182,182
1183,261
1184,195
1185,191
1186,333
1187,305
1188,332
1189,144
1190,500
1191,326
1192,304
1193,250
1194,335
1195,174
1196,391
1197,243
1198,168
1199,414
1200,258
1201,280
1202,131
1203,161
1204,202
1205,469
1206,173
1207,208
1208,166
1209,187
1210,268
1211,258
1212,173
1213,213
1214,256
1215,294
1216,135
1217,352
1218,259
1219,190
1220,414
1221,207
1222,290
1223,154
1224,242
1225,175
1226,173
1227,209
1228,143
1229,500
1230,271
1231,174
1232,132
1233,234
1234,222
1235,201
1236,249
1237,226
1238,176
1239,200
1240,220
1241,213
1242,134
1243,134
1244,183
1245,190
1246,126
1247,279
1248,373
1249,357
1250,177
1251,204
1252,158
1253,160
1254,150
1255,260
1256,163
1257,190
1258,208
1259,143
1260,143
1261,283
1262,231
1263,158
1264,162
1265,227
1266,260
1267,226
1268,353
1269,280
1270,173
1271,446
1272,287
1273,118
1274,151
1275,184
1276,317
1277,450
1278,213
1279,232
1280,248
1281,384
1282,500
1283,387
1284,295
1285,489
1286,209
1287,301
1288,292
1289,425
1290,256
1291,138
1292,457
1293,491
1294,228
1295,232
1296,260
1297,361
1298,101
1299,494
1300,238
1301,286
1302,441
1303,212
1304,375
1305,190
1306,358
1307,435
1308,275
1309,271
1310,280
1311,133
1312,157
1313,355
1314,325
1315,172
1316,201
1317,332
1318,211
1319,217
1320,349
1321,174
1322,205
1323,165
1324,144
1325,260
1326,131
1327,379
1328,265
1329,370
1330,239
1331,257
1332,319
1333,225
1334,225
1335,302
1336,138
1337,248
1338,270
1339,495
1340,198
1341,269
1342,169
1343,132
1344,198
1345,206
1346,250
1347,272
1348,112
1349,227
1350,157
